视频URL,标题,封面地址,播放地址,类别,观看数 (独立用户),点赞数,热度评分,序号
https://www.kuaishou.com/short-video/3ximi556gpyxw2c,芒果台这次真的捡到宝了，《浪姐6》的唱跳黑马竟是搞笑女张小婉，张小婉凭实力打破了喜剧人的标签，直接飞升女神舞娘，真的惊艳了一眼又一眼。踢后腿，空中臀桥，舞蹈功底直接拉满。,https://p2.a.yximgs.com/upic/2025/04/13/09/BMjAyNTA0MTMwOTUxMjZfMjQ5NzcwNzIzNV8xNjE2MjUwMDQzMThfMV8z_B4a015a77c53dcfc28f8c2a0a57d11630.jpg?tag=1-1744604763-xpcwebsearch-0-kupknwk5iz-4e1a8366327769cd&c,https://v2-zj-scct.kwaicdn.com/upic/2025/04/13/09/BMjAyNTA0MTMwOTUxMjZfMjQ5NzcwNzIzNV8xNjE2MjUwMDQzMThfMV8z_b_B47e20afed6574d396df742cc8915cd59.mp4?tag=1-1744604763-unknown-0-m0dagy4bfm-7995f0d2c5cc8f,CAT_222,75,38,60.2,8389
https://www.kuaishou.com/short-video/3x7kgmbi45qphd2,世界上最美妙的感觉就是 当你拥抱一个你爱的人时，他竟然把你抱得更紧. #治愈系动画 #情侣日常 #动画,https://p1.a.yximgs.com/upic/2025/02/16/15/BMjAyNTAyMTYxNTU2NDRfMjgxODU4NjM5MF8xNTcxMDc4NjA2OTJfMV8z_Bbebf141ce3153823a8e4743ba7d39895.jpg?tag=1-1744982200-xpcwebsearch-0-01nabh1i2g-2ed948b39d7766ee&c,https://v2-zj-scct.kwaicdn.com/upic/2025/02/16/15/BMjAyNTAyMTYxNTU2NDRfMjgxODU4NjM5MF8xNTcxMDc4NjA2OTJfMV8z_b_Be3900a4b9424bfd4898f75a7f144fd53.mp4?tag=1-1744982200-unknown-0-bnc8iswcio-5e45f06564140b,CAT_222,76,36,60.0,53572
https://www.kuaishou.com/short-video/3xsj9xqwfp8yhpu,给大家爆料一下二手手机怎么选择 #手机使用小技巧 #手机小知识 #手机宝宝,https://p1.a.yximgs.com/upic/2023/10/05/16/BMjAyMzEwMDUxNjI5NDVfMTIxMDI4NTkzMl8xMTQzODQ1MzU5MjdfMl8z_B72aff057172751b0c71ad7b8934b3cfb.jpg?tag=1-1744984831-xpcwebsearch-0-nwjxxelale-05bba5b6a2789305&c,https://v2.kwaicdn.com/ksc2/aHHYm8aqcELc6cdZgsOj2S8R6PHyZ0_4QzvYlxdfYmMeEE730NVoJBvIt-Lhjcklle8Ij0JbT2_TEp6GFwsmha2tl_kO8QpeVqm9AhBAGDC4cfWbItUccNoo2jjwxx7TJYs96P2kArPNS4WqJlfRNriarA4I11X7oO1yk08vB9TS,CAT_222,73,40,59.8,61704
https://www.kuaishou.com/short-video/3x737b545vs5nck,同城好店推荐 四平电器 家电补贴 职场变迁 超实惠,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3x737b545vs5nck,CAT_222,78,32,59.6,2340
https://www.kuaishou.com/short-video/3x83yajmxj96bdq,一些有趣的瞬间📷,https://p1.a.yximgs.com/upic/2025/04/13/18/BMjAyNTA0MTMxODU3MTlfMTc3MzY1ODRfMTYxNjc1MTU1ODIzXzFfMw==_Bb074eae4b9d461529e5e8f9050622bb7.jpg?tag=1-1744604766-xpcwebsearch-0-swbpvw3aov-f3c8ef00584899fc&c,https://v2-zj-scct.kwaicdn.com/upic/2025/04/13/18/BMjAyNTA0MTMxODU3MTlfMTc3MzY1ODRfMTYxNjc1MTU1ODIzXzFfMw==_b_Bda2bd7951ae4135e79b18a5edad73c5a.mp4?tag=1-1744604766-unknown-0-rczg5m0qcd-c64fd2cf0c935e,CAT_222,76,34,59.2,8398
https://www.kuaishou.com/short-video/3xwmtz5bh4uuk89,熬过了异地恋 就是一辈子#以爱之名你还愿意吗#情侣日常#治愈系动画,https://p2.a.yximgs.com/upic/2024/10/18/13/BMjAyNDEwMTgxMzA1NTJfNDEyOTEyNjU4NF8xNDYzNDUwMzAzNjJfMF8z_Bfff59d4ca0c1a555623c2f35a024b452.jpg?tag=1-1744982095-xpcwebsearch-0-kxzzokn3ab-63336315dc5c002e&c,https://v2-zj-scct.kwaicdn.com/upic/2024/10/18/13/BMjAyNDEwMTgxMzA1NTJfNDEyOTEyNjU4NF8xNDYzNDUwMzAzNjJfMF8z_b_Bfa94eaedb03332a0ac1422c428914bd8.mp4?tag=1-1744982095-unknown-0-o8kgkzwlr6-d218a76aef5334,CAT_222,77,32,59.0,53171
https://www.kuaishou.com/short-video/3xraptzz9br45e4,拧巴的人需要一个赶不走的爱人 #治愈系动画 #情侣日常 #动画,https://p2.a.yximgs.com/upic/2025/01/19/18/BMjAyNTAxMTkxODExMDhfMjgxODU4NjM5MF8xNTQzNzg5NTc2MjRfMV8z_ccc_Bd885d5463e9794b71f7956133a6a40af.jpg?tag=1-1744982193-xpcwebsearch-0-pjq5iwywpj-4ea71ef1126889,https://v1.kwaicdn.com/ksc2/n6Xk1AC7f4O-9HZZjTXTwYym6BakeBm2zMLd5rA9LM1NvTjrJ31Hh5HQBR_dfWLla3tNwwdZhVRJ9vlEmzLZrv_fRd8cAcUgU51urBrjn4ORP8IiLyLuZ8X1EeBt9rNI0AbTaPgV47KtYmcDxo3jUMgIoqYR23bWMdUrvZ4xvIa3,CAT_222,74,35,58.4,53530
https://www.kuaishou.com/short-video/3x4sk9a3zttixv6,白鲸吃鱼！,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3x4sk9a3zttixv6,CAT_222,74,35,58.4,400
https://www.kuaishou.com/short-video/3xxgve8ar5adqwa,#请你别走太快 我可以不听，但你不能不管 #甜甜的恋爱 #情侣日常 #治愈系动画,https://p1.a.yximgs.com/upic/2025/03/19/18/BMjAyNTAzMTkxODUxMjZfMzM4NDUzMTk5OF8xNTk2MTc0MTI1MTVfMl8z_B802e5cae4864f0a61892ed94fde0f5ac.jpg?tag=1-1744982197-xpcwebsearch-0-ry3ygytzrf-4f09a9a2482a8b51&c,https://v2.kwaicdn.com/ksc2/XXmFZ6dcaXglkeM6DvmBbwBJeZ0UCdiRncZXRmLjeOaks4xu_QWeQqNT-7muvH9VuonkKTQ7VWIJpkmtRV-3O3bbfCEGx4qhXPOt83EFkwfaT9XFW1fEaFdQGgh9NXskBrI4UsbhyCRWX00jKzyLocK0T21yjbKP2zPQwMLD3kpR,CAT_222,73,36,58.2,53548
https://www.kuaishou.com/short-video/3xk76n6rn8dwkt4,一年四季常绿，而且很好养，浇浇水就可以,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3xk76n6rn8dwkt4,CAT_222,76,30,57.6,46368
https://www.kuaishou.com/short-video/3xkg4n4i6ctthgg,#配音 你已经长大了,https://p5.a.yximgs.com/upic/2024/07/28/15/BMjAyNDA3MjgxNTA0MzFfMjY2MDM3NzAyXzEzOTA1OTM0Nzg1OV8xXzM=_B952f5ca9777e3da8459d6cf9ccb2f739.jpg?tag=1-1744982237-xpcwebsearch-0-qv1xhrgzvm-ba4223d68690065c&c,https://v2-zj-scct.kwaicdn.com/upic/2024/07/28/15/BMjAyNDA3MjgxNTA0MzFfMjY2MDM3NzAyXzEzOTA1OTM0Nzg1OV8xXzM=_b_B057f39b5d65e2c277233e82dcb4a1836.mp4?tag=1-1744982237-unknown-0-xt3yw1ewlz-a1b94dbbcc12d1,CAT_222,72,36,57.6,53699
https://www.kuaishou.com/short-video/3xtq9gheewswzkg,恭喜王珞丹姐姐在三公正式成为演员版唱跳歌手,https://p1.a.yximgs.com/upic/2025/04/12/22/BMjAyNTA0MTIyMjE0MzdfMTE2MDAwMzMyMV8xNjE1OTU0ODI5MjJfMl8z_B7e08b2eda4f5b81940ea8b58580bf776.jpg?tag=1-1744604763-xpcwebsearch-0-ccihfopxp6-669d1537230aa019&c,https://v2-zj-scct.kwaicdn.com/upic/2025/04/12/22/BMjAyNTA0MTIyMjE0MzdfMTE2MDAwMzMyMV8xNjE1OTU0ODI5MjJfMl8z_b_Ba05d2bc9757a749fdbfd5c0f08932210.mp4?tag=1-1744604763-unknown-0-aywpzpmwtr-531cb48d4ec756,CAT_222,71,37,57.4,8376
https://www.kuaishou.com/short-video/3xwjid3txd9mpg9,深蹲教学,https://p2.a.yximgs.com/upic/2019/07/08/17/BMjAxOTA3MDgxNzI0MDNfMTUwNzU4OTQzXzE0OTM3Mjg3NTcwXzFfMw==_B865824e1ad50a84c5b631ca2b58c117d.jpg?tag=1-1744983441-xpcwebsearch-0-m8xreuhuyo-dcb315994fd9a156&c,https://v2-zj-scct.kwaicdn.com/upic/2019/07/08/17/BMjAxOTA3MDgxNzI0MDNfMTUwNzU4OTQzXzE0OTM3Mjg3NTcwXzFfMw==_b_B54ef98d43a3da9f5247504092739c574.mp4?tag=1-1744983441-unknown-0-nhgipbfu53-ea9c2f17ae3426,CAT_222,72,34,56.8,57670
https://www.kuaishou.com/short-video/3x8uh33bxcce3im,瘦大腿 宽距深蹲够厉害👍 也可以抱个壶铃！！！负重更难！也更酸爽！！！,https://p1.a.yximgs.com/upic/2024/10/29/21/BMjAyNDEwMjkyMTAzNDFfMTA4MzYzNzY2XzE0NzI4NjA4MDQ4MF8xXzM=_Bf77bb190fd6302a850e1a96397a3e726.jpg?tag=1-1744983441-xpcwebsearch-0-hjjttdvaki-2c494222c6fbda61&c,https://v2-zj-scct.kwaicdn.com/upic/2024/10/29/21/BMjAyNDEwMjkyMTAzNDFfMTA4MzYzNzY2XzE0NzI4NjA4MDQ4MF8xXzM=_b_B565611af4b1348f64b14b16323252836.mp4?tag=1-1744983441-unknown-0-znrieovbiy-e4023c93722632,CAT_222,72,34,56.8,57668
https://www.kuaishou.com/short-video/3xznpjvm9a75yjk,做深蹲膝盖痛，你就这么练！一个月后整个人都🐮了 #深蹲,https://p1.a.yximgs.com/upic/2022/12/18/19/BMjAyMjEyMTgxOTU5MjJfMTE2MjM4NDA5NV85MTQyNzg0NDkwMV8yXzM=_Bbdae8adfbb471a9559002401236467a6.jpg?tag=1-1744983441-xpcwebsearch-0-hcheqyy0gb-67ff908bf8be447e&c,https://v2-zj-scct.kwaicdn.com/upic/2022/12/18/19/BMjAyMjEyMTgxOTU5MjJfMTE2MjM4NDA5NV85MTQyNzg0NDkwMV8yXzM=_b_Be9d68536ba1d6428edefe52f918ade4e.mp4?tag=1-1744983441-unknown-0-cthloinaax-3a566b90547d5a,CAT_222,70,36,56.4,57674
https://www.kuaishou.com/short-video/3xuf48z2dgep9iq,唱跳 唱跳,https://p2.a.yximgs.com/upic/2025/04/12/13/BMjAyNTA0MTIxMzQxNTBfOTA1MzQ5NTI5XzE2MTUzOTU4MDc3OF8xXzM=_Bb0ce3015915376856ea46c8ac15e8625.jpg?tag=1-1744604760-xpcwebsearch-0-xkcqqsh12s-3622865a82ae6630&c,https://v2-zj-scct.kwaicdn.com/upic/2025/04/12/13/BMjAyNTA0MTIxMzQxNTBfOTA1MzQ5NTI5XzE2MTUzOTU4MDc3OF8xXzM=_b_Bf03842decfce5623473e38f4a4f9e033.mp4?tag=1-1744604760-unknown-0-1a22vrlqe2-cbcf740058c7d3,CAT_222,72,33,56.4,8369
https://www.kuaishou.com/short-video/3xa999fbrifvgt2,最近被这土嗨土嗨的神曲洗脑了😂来！左边跟我一起……,https://p4.a.yximgs.com/upic/2019/09/13/19/BMjAxOTA5MTMxOTQxNDBfMjA0MjcyNjQzXzE3NDM5Nzk5ODMyXzFfMw==_Bc08cc162291e8fbebb3215f4fdb92ecd.jpg?tag=1-1744604760-xpcwebsearch-0-cveil1iqts-72227b85dedceb4c&c,https://v2-zj-scct.kwaicdn.com/upic/2019/09/13/19/BMjAxOTA5MTMxOTQxNDBfMjA0MjcyNjQzXzE3NDM5Nzk5ODMyXzFfMw==_b_B77ec8b71a34205f1bc5b463520426598.mp4?tag=1-1744604760-unknown-0-ows2h2wu2j-671e3ea7b2fe1a,CAT_222,72,33,56.4,8362
https://www.kuaishou.com/short-video/3xiz5t34whmbj2k,@红寺堡婉居软装(O3xhhjefkwte7sus) 的精彩视频,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3xiz5t34whmbj2k,CAT_222,71,33,55.8,48593
https://www.kuaishou.com/short-video/3xawy4qmepb64hw,四舍五入我也是个唱跳博主了,https://p2.a.yximgs.com/upic/2020/03/15/18/BMjAyMDAzMTUxODA0MjFfMTYwNzg2NV8yNTAwNzY4NjQyN18xXzM=_B0e9d4a8a696dfc654eb90d94347b3005.jpg?tag=1-1744604766-xpcwebsearch-0-z9xnnmo2qw-87a48d595b05dcc9&clien,https://v2-zj-scct.kwaicdn.com/upic/2020/03/15/18/BMjAyMDAzMTUxODA0MjFfMTYwNzg2NV8yNTAwNzY4NjQyN18xXzM=_b_B997612f9e71d132ff307569dc7499e3e.mp4?tag=1-1744604766-unknown-0-qdnpuj0al4-c8e30c48363993c2&p,CAT_222,71,33,55.8,8397
https://www.kuaishou.com/short-video/3xjck7w4s67a2dg,哪一个是你最喜欢的角色声音,https://p2.a.yximgs.com/upic/2024/05/19/17/BMjAyNDA1MTkxNzA0MzFfOTc0NTQ5MTA1XzEzMjc5MjcxMzkzOF8xXzM=_ccc_B76d5371bbb74586a3f7ec6dc4eda4285.jpg?tag=1-1744982234-xpcwebsearch-0-w66gh5hplz-126333f3bc71a1,https://v2-zj-scct.kwaicdn.com/upic/2024/05/19/17/BMjAyNDA1MTkxNzA0MzFfOTc0NTQ5MTA1XzEzMjc5MjcxMzkzOF8xXzM=_b_B964ab18439248be64a2afb1d21d55fff.mp4?tag=1-1744982234-unknown-0-ohefp0p51s-688557fae2fb32,CAT_222,69,36,55.8,53683
https://www.kuaishou.com/short-video/3xdkavsmw4q9i92,这个视频有点长 请看到最后 能否换来一个小红心♥️ #客厅健身房 ##客厅挑战赛,https://p2.a.yximgs.com/upic/2020/01/22/14/BMjAyMDAxMjIxNDI2MzlfMjAyMjYzOTlfMjIyMjk2NzU5OTBfMV8z_B49050a4aa77cb4dc33b4abd753267ca3.jpg?tag=1-1744983441-xpcwebsearch-0-0y51whbchc-4f30abf5e746cb14&clien,https://v2-zj-scct.kwaicdn.com/upic/2020/01/22/14/BMjAyMDAxMjIxNDI2MzlfMjAyMjYzOTlfMjIyMjk2NzU5OTBfMV8z_b_B2464bf513b5a5584a5f9f5913c2f24f8.mp4?tag=1-1744983441-unknown-0-s8szoyeavx-d1ee61ff8249471c&p,CAT_222,69,36,55.8,57666
https://www.kuaishou.com/short-video/3x2ssjfarwveyrq,宇智波鼬的声优石川英郎本色出演，他真的 我哭死 @ㅤqi(O3xpb8442swnyade),https://p2.a.yximgs.com/upic/2023/11/04/09/BMjAyMzExMDQwOTQxNTRfMjgxMzQyMTM4NV8xMTY0MDk0OTM5MDFfMl8z_B64511693fa142fe0eb2957df15ec3eb0.jpg?tag=1-1744982234-xpcwebsearch-0-qnqdzk5e8z-6f211955c9477583&c,https://v2-zj-scct.kwaicdn.com/upic/2023/11/04/09/BMjAyMzExMDQwOTQxNTRfMjgxMzQyMTM4NV8xMTY0MDk0OTM5MDFfMl8z_b_Bbb13eae2721bb1aa70f46c68c84fad18.mp4?tag=1-1744982234-unknown-0-h8hyodgzqh-ca3d3f9269204c,CAT_222,72,31,55.6,53680
https://www.kuaishou.com/short-video/3xhg7brpprqjpm6,你练翘臀的深蹲姿势对了吗？正确的深蹲才能有效地臀桥，快点赞收藏练起来吧！#减肥,https://p3.a.yximgs.com/upic/2019/11/26/18/BMjAxOTExMjYxODM1NDlfMTM2OTY3Mjc4XzE5OTA5MjE1NzI0XzFfMw==_B1860ab7b499080df94f662bd3e89df95.jpg?tag=1-1744983438-xpcwebsearch-0-dojfh8slzj-41239490a6408ad2&c,https://v2-zj-scct.kwaicdn.com/upic/2019/11/26/18/BMjAxOTExMjYxODM1NDlfMTM2OTY3Mjc4XzE5OTA5MjE1NzI0XzFfMw==_b_B08b006baa3bf13e94bfe8222ece78e6c.mp4?tag=1-1744983438-unknown-0-mwz4xjy5oo-a3d6e44993617f,CAT_222,69,35,55.4,57645
https://www.kuaishou.com/short-video/3x5qisvuf3ukiby,林莜作品，改编版练习。魔三斤的这种学唱，可谓是魔音绕梁啊。也能看出有些曲艺的功底,https://p1.a.yximgs.com/upic/2021/01/14/22/BMjAyMTAxMTQyMjE3MzhfMjE2NDU1MDUzMF80MjM4MTEzMjgwNV8yXzM=_B965a4d38bee6606ccedd109839f8416e.jpg?tag=1-1744604766-xpcwebsearch-0-lqmj6ykplg-3388e9019b77e759&c,https://v2-zj-scct.kwaicdn.com/upic/2021/01/14/22/BMjAyMTAxMTQyMjE3MzhfMjE2NDU1MDUzMF80MjM4MTEzMjgwNV8yXzM=_b_Ba48610b4d87eac7221154471f5645dd9.mp4?tag=1-1744604766-unknown-0-msy3iyqyct-a129a277e0be96,CAT_222,67,38,55.4,8402
https://www.kuaishou.com/short-video/3xekmazcgj77sma,日常英语口语 英语口语练习打卡 英语日常口语 语言学习 零基础学英语,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3xekmazcgj77sma,CAT_222,68,36,55.2,48452
https://www.kuaishou.com/short-video/3xcsht2j7qwd5mk,“我想你了”=你在身边就好了 #治愈系动画 #情侣日常 #动画,https://p1.a.yximgs.com/upic/2025/03/03/19/BMjAyNTAzMDMxOTA3MDdfMjgxODU4NjM5MF8xNTgzNDc2MTI0MzVfMV8z_B8601816474fa159bea756b0159ff7e17.jpg?tag=1-1744982197-xpcwebsearch-0-m0am5jlhri-47b1c62382ce50a2&c,https://v2.kwaicdn.com/ksc2/zpv563GCbRD97KyG7h28RiUsFjn__EA-07XfBz58GzJBSo-Ze6MAUF8u7E8MGuWSdh-wiJKO4iN6uJNKhQlamqJ3j2EOi9vn4oFQBwY2YirK5jO9gE5p0MaM-w7mc7zU2fOS9BZlWm1bX0ebOXiWDi3oe4iWh3hk4BsDAp6-t9ls,CAT_222,72,29,54.8,53557
https://www.kuaishou.com/short-video/3xcfxq5qur6e99q,情侣之间频繁亲嘴的“后果”#治愈系动画 #情侣日常 #动画,https://p2.a.yximgs.com/upic/2025/02/04/18/BMjAyNTAyMDQxODE5MDNfMjgxODU4NjM5MF8xNTU5NTQ0MDUzODNfMV8z_ccc_Bcdd724d7ec0a66abe3e173e9f87a70fd.jpg?tag=1-1744982098-xpcwebsearch-0-pgwmxr1iw6-c08e6d910d5106,https://v2.kwaicdn.com/ksc2/R6Or52wckmvYdUg_zxNDqmGiDRIiA0Tc2Xgu2MdqlDrfy6sd6j0odMPwM3D4mZEJj9jeOqJgWKzmj10AF_JhyKXjfY84raEibN7pZhejLkfWaFtyMK7YI9eLblM071mrrJq4CuPdDJjya6-VF5fJSBeZcCXTmkZ2ig7UTJ9Lcng7,CAT_222,70,32,54.8,53187
https://www.kuaishou.com/short-video/3xcdnaa5w6hji6y,婉居软装 我们家的婚庆款高端私人定制绝,https://picsum.photos/300/80?random,https://www.kuaishou.com/short-video/3xcdnaa5w6hji6y,CAT_222,70,32,54.8,48619
https://www.kuaishou.com/short-video/3x5z8jf3kci9ztm,不唱改跳了,https://p2.a.yximgs.com/upic/2025/04/12/20/BMjAyNTA0MTIyMDQxNDZfODY5MzczMjQ0XzE2MTU4NTM2NzczMl8yXzM=_B813f62aa20e5a00f05ede1bf5d5c1402.jpg?tag=1-1744604766-xpcwebsearch-0-hogambphfz-16e1ec7c3e04413b&c,https://v2-zj-scct.kwaicdn.com/upic/2025/04/12/20/BMjAyNTA0MTIyMDQxNDZfODY5MzczMjQ0XzE2MTU4NTM2NzczMl8yXzM=_b_B24fb877a8567562019dfae27c23c790a.mp4?tag=1-1744604766-unknown-0-hwzigbaozl-201ea77b7392ec,CAT_222,68,34,54.4,8404
https://www.kuaishou.com/short-video/3xjz9vrd4acdwum,深蹲，深蹲跳 标准做法和训练方法,https://p4.a.yximgs.com/upic/2021/10/11/18/BMjAyMTEwMTExODU2MTJfNTQxODgwNzQ1XzU4ODgwNDkwNzk4XzFfMw==_B23e51e9dcd7803ab59491c85c687cec4.jpg?tag=1-1744983441-xpcwebsearch-0-sodtvllmey-48d206bfed5e7426&c,https://v2-zj-scct.kwaicdn.com/upic/2021/10/11/18/BMjAyMTEwMTExODU2MTJfNTQxODgwNzQ1XzU4ODgwNDkwNzk4XzFfMw==_b_B846cd8dece00594c459b2caf692043c4.mp4?tag=1-1744983441-unknown-0-yjodicfsyx-1ccafc4e46d889,CAT_222,69,32,54.2,57661
