用户ID,兴趣类别,观看视频数,点赞视频数
35,"CAT_071, CAT_051, CAT_037, CAT_140, CAT_101",126,50
36,"CAT_127, CAT_189, CAT_132, CAT_059, CAT_152, CAT_085",119,50
37,"CAT_178, CAT_024, CAT_138, CAT_205, CAT_129",113,45
38,"CAT_055, CAT_003, CAT_045, CAT_175, CAT_206, CAT_091",136,50
39,"CAT_169, CAT_112, CAT_121, CAT_219, CAT_139",104,49
40,"CAT_142, CAT_168, CAT_008, CAT_035, CAT_068, CAT_079",135,73
41,"CAT_140, CAT_187, CAT_215, CAT_203, CAT_188, CAT_133",130,47
42,"CAT_162, CAT_208, CAT_003, CAT_104",123,60
43,"CAT_069, CAT_087, CAT_216, CAT_134",131,42
44,"CAT_087, CAT_076, CAT_079, CAT_000, CAT_168",126,51
45,"CAT_151, CAT_104, CAT_195, CAT_023, CAT_200, CAT_176",134,53
46,"CAT_015, CAT_133, CAT_058, CAT_202, CAT_159, CAT_027",121,50
47,"CAT_036, CAT_168, CAT_044, CAT_056, CAT_086, CAT_101",114,53
48,"CAT_064, CAT_053, CAT_191, CAT_128",131,39
49,"CAT_156, CAT_107, CAT_160, CAT_148",118,40
50,"CAT_031, CAT_100, CAT_058, CAT_155",102,40
51,"CAT_118, CAT_157, CAT_208, CAT_065",140,65
52,"CAT_126, CAT_083, CAT_158, CAT_134, CAT_165, CAT_171",127,50
53,"CAT_200, CAT_150, CAT_095, CAT_059, CAT_071, CAT_148",126,57
54,"CAT_060, CAT_094, CAT_123, CAT_078, CAT_180",150,63
55,"CAT_136, CAT_082, CAT_103, CAT_036",127,59
56,"CAT_171, CAT_059, CAT_023, CAT_091, CAT_211",113,41
57,"CAT_117, CAT_042, CAT_081, CAT_048, CAT_219",137,48
58,"CAT_195, CAT_191, CAT_102, CAT_055, CAT_064",100,26
59,"CAT_178, CAT_032, CAT_207, CAT_077",140,63
60,"CAT_203, CAT_036, CAT_020, CAT_159, CAT_055, CAT_131",122,48
61,"CAT_024, CAT_153, CAT_140, CAT_069, CAT_217, CAT_015",146,55
62,"CAT_147, CAT_105, CAT_084, CAT_062, CAT_173",106,39
63,"CAT_194, CAT_136, CAT_129, CAT_138, CAT_202, CAT_208",125,57
64,"CAT_081, CAT_151, CAT_218, CAT_138, CAT_180",127,59
65,"CAT_180, CAT_109, CAT_041, CAT_148",118,49
66,"CAT_137, CAT_081, CAT_152, CAT_120, CAT_071, CAT_057",138,53
67,"CAT_078, CAT_140, CAT_121, CAT_021, CAT_090",105,40
68,"CAT_156, CAT_163, CAT_136, CAT_192, CAT_069, CAT_144",105,36
69,"CAT_202, CAT_026, CAT_208, CAT_060, CAT_127",118,44
70,"CAT_015, CAT_003, CAT_212, CAT_179, CAT_205, CAT_186",124,54
71,"CAT_052, CAT_012, CAT_089, CAT_022, CAT_060, CAT_070",138,66
72,"CAT_146, CAT_177, CAT_188, CAT_220, CAT_204, CAT_189",121,48
73,"CAT_185, CAT_063, CAT_138, CAT_045",106,50
74,"CAT_004, CAT_069, CAT_084, CAT_178",141,61
75,"CAT_112, CAT_205, CAT_193, CAT_195, CAT_164",144,55
76,"CAT_066, CAT_166, CAT_049, CAT_101, CAT_113",111,41
77,"CAT_218, CAT_204, CAT_105, CAT_031",103,43
78,"CAT_051, CAT_209, CAT_073, CAT_086, CAT_110",113,46
79,"CAT_110, CAT_119, CAT_184, CAT_174",103,49
80,"CAT_110, CAT_117, CAT_214, CAT_153",97,42
81,"CAT_063, CAT_081, CAT_013, CAT_003, CAT_191, CAT_160",157,77
82,"CAT_024, CAT_118, CAT_031, CAT_064",117,35
83,"CAT_178, CAT_100, CAT_049, CAT_144, CAT_007, CAT_002",102,41
84,"CAT_129, CAT_049, CAT_188, CAT_029",132,45
85,"CAT_171, CAT_038, CAT_077, CAT_097, CAT_042",112,49
86,"CAT_128, CAT_004, CAT_118, CAT_196, CAT_000, CAT_159",117,53
87,"CAT_149, CAT_116, CAT_069, CAT_217",100,43
88,"CAT_057, CAT_011, CAT_211, CAT_141, CAT_037",137,58
89,"CAT_050, CAT_031, CAT_165, CAT_181, CAT_030",122,48
90,"CAT_174, CAT_120, CAT_020, CAT_147, CAT_053",115,44
91,"CAT_078, CAT_137, CAT_132, CAT_087",125,59
92,"CAT_043, CAT_101, CAT_175, CAT_052, CAT_064, CAT_145",128,54
93,"CAT_142, CAT_110, CAT_054, CAT_008",136,52
94,"CAT_038, CAT_013, CAT_141, CAT_001, CAT_048, CAT_053",121,52
95,"CAT_007, CAT_071, CAT_041, CAT_118",154,64
96,"CAT_195, CAT_012, CAT_019, CAT_035",111,44
97,"CAT_012, CAT_131, CAT_128, CAT_134, CAT_110, CAT_186",133,59
98,"CAT_113, CAT_144, CAT_029, CAT_133",103,48
99,"CAT_126, CAT_083, CAT_031, CAT_039, CAT_125",139,60
100,"CAT_071, CAT_160, CAT_213, CAT_030, CAT_106, CAT_081",126,53
101,"CAT_154, CAT_204, CAT_174, CAT_054, CAT_081",106,46
102,"CAT_221, CAT_151, CAT_182, CAT_169, CAT_034",150,60
103,"CAT_031, CAT_056, CAT_125, CAT_069",116,51
104,"CAT_043, CAT_068, CAT_111, CAT_114, CAT_063",89,37
105,"CAT_113, CAT_098, CAT_004, CAT_135, CAT_094, CAT_038",125,49
106,"CAT_215, CAT_129, CAT_207, CAT_000, CAT_043",136,53
107,"CAT_007, CAT_172, CAT_125, CAT_145, CAT_088, CAT_134",132,49
108,"CAT_043, CAT_133, CAT_125, CAT_108, CAT_009, CAT_102",126,53
109,"CAT_023, CAT_033, CAT_059, CAT_024, CAT_115, CAT_143",122,58
110,"CAT_142, CAT_030, CAT_143, CAT_189, CAT_199",135,52
111,"CAT_044, CAT_089, CAT_189, CAT_173, CAT_029, CAT_219",111,48
112,"CAT_105, CAT_221, CAT_168, CAT_045, CAT_086",92,37
113,"CAT_049, CAT_002, CAT_142, CAT_132",130,48
114,"CAT_074, CAT_080, CAT_122, CAT_104, CAT_022, CAT_100",118,45
115,"CAT_172, CAT_067, CAT_173, CAT_176, CAT_033",90,41
116,"CAT_096, CAT_125, CAT_070, CAT_189, CAT_025, CAT_144",116,41
117,"CAT_012, CAT_060, CAT_188, CAT_079",101,42
118,"CAT_160, CAT_173, CAT_019, CAT_012",129,53
119,"CAT_166, CAT_113, CAT_019, CAT_164",117,42
120,"CAT_172, CAT_118, CAT_083, CAT_098",144,62
121,"CAT_042, CAT_169, CAT_134, CAT_067, CAT_144, CAT_016",130,52
122,"CAT_152, CAT_002, CAT_145, CAT_052, CAT_081, CAT_030",103,46
123,"CAT_057, CAT_048, CAT_113, CAT_126, CAT_026",92,38
124,"CAT_107, CAT_058, CAT_095, CAT_147, CAT_148, CAT_113",101,37
125,"CAT_187, CAT_162, CAT_128, CAT_050, CAT_033, CAT_065",153,60
126,"CAT_058, CAT_145, CAT_077, CAT_092, CAT_171",109,39
127,"CAT_022, CAT_071, CAT_213, CAT_184, CAT_068",125,33
128,"CAT_024, CAT_119, CAT_212, CAT_069, CAT_156",139,62
129,"CAT_169, CAT_158, CAT_181, CAT_199",88,37
130,"CAT_137, CAT_216, CAT_155, CAT_016",149,61
131,"CAT_008, CAT_110, CAT_037, CAT_000",158,53
132,"CAT_041, CAT_187, CAT_023, CAT_107, CAT_214, CAT_160",111,44
133,"CAT_101, CAT_001, CAT_164, CAT_170, CAT_146",120,53
134,"CAT_098, CAT_052, CAT_177, CAT_003",110,47
135,"CAT_197, CAT_090, CAT_111, CAT_014",141,67
136,"CAT_077, CAT_151, CAT_084, CAT_199, CAT_206, CAT_013",147,53
137,"CAT_217, CAT_195, CAT_054, CAT_143, CAT_170",130,51
138,"CAT_034, CAT_120, CAT_037, CAT_176, CAT_015, CAT_144",105,40
139,"CAT_051, CAT_026, CAT_031, CAT_033, CAT_048",120,47
140,"CAT_161, CAT_076, CAT_136, CAT_193, CAT_190",135,58
141,"CAT_009, CAT_045, CAT_059, CAT_109",115,43
142,"CAT_115, CAT_166, CAT_073, CAT_059, CAT_104",119,47
143,"CAT_171, CAT_010, CAT_204, CAT_126",109,52
144,"CAT_023, CAT_075, CAT_125, CAT_118, CAT_032, CAT_187",120,56
145,"CAT_074, CAT_135, CAT_063, CAT_004, CAT_054",131,59
146,"CAT_170, CAT_048, CAT_126, CAT_123",130,52
147,"CAT_178, CAT_159, CAT_198, CAT_040, CAT_140",108,41
148,"CAT_145, CAT_131, CAT_199, CAT_012, CAT_040",129,56
149,"CAT_072, CAT_085, CAT_173, CAT_002",126,58
150,"CAT_000, CAT_173, CAT_024, CAT_114",124,42
151,"CAT_057, CAT_120, CAT_099, CAT_059, CAT_174, CAT_173",123,49
152,"CAT_131, CAT_203, CAT_058, CAT_142, CAT_206",93,36
153,"CAT_096, CAT_076, CAT_069, CAT_041",127,62
154,"CAT_046, CAT_157, CAT_182, CAT_177",133,56
155,"CAT_107, CAT_215, CAT_108, CAT_031",118,41
156,"CAT_014, CAT_106, CAT_218, CAT_044, CAT_174",124,51
157,"CAT_207, CAT_206, CAT_187, CAT_100, CAT_023, CAT_189",123,54
158,"CAT_202, CAT_184, CAT_220, CAT_048, CAT_047",102,48
159,"CAT_166, CAT_222, CAT_219, CAT_092, CAT_083, CAT_176",127,43
160,"CAT_127, CAT_040, CAT_075, CAT_015, CAT_073",106,54
161,"CAT_071, CAT_080, CAT_142, CAT_036, CAT_150",112,47
162,"CAT_199, CAT_119, CAT_107, CAT_089",102,40
163,"CAT_213, CAT_134, CAT_136, CAT_078, CAT_177",115,43
164,"CAT_160, CAT_015, CAT_156, CAT_204",126,56
165,"CAT_196, CAT_011, CAT_144, CAT_095",121,30
166,"CAT_110, CAT_163, CAT_066, CAT_039",129,48
167,"CAT_100, CAT_138, CAT_117, CAT_127, CAT_141, CAT_106",126,58
168,"CAT_121, CAT_125, CAT_097, CAT_164",142,61
169,"CAT_069, CAT_103, CAT_079, CAT_112, CAT_185",84,37
170,"CAT_176, CAT_108, CAT_101, CAT_010, CAT_124",104,34
171,"CAT_052, CAT_107, CAT_207, CAT_124, CAT_032, CAT_161",128,49
172,"CAT_209, CAT_167, CAT_182, CAT_145, CAT_102",112,51
173,"CAT_079, CAT_017, CAT_064, CAT_001, CAT_197",124,58
174,"CAT_030, CAT_155, CAT_216, CAT_085, CAT_187",113,37
175,"CAT_025, CAT_203, CAT_180, CAT_199, CAT_125, CAT_086",101,40
176,"CAT_145, CAT_137, CAT_005, CAT_193, CAT_138, CAT_190",131,54
177,"CAT_005, CAT_111, CAT_030, CAT_042",135,57
178,"CAT_168, CAT_215, CAT_063, CAT_132, CAT_149",127,51
179,"CAT_119, CAT_083, CAT_168, CAT_195, CAT_012, CAT_200",114,46
180,"CAT_150, CAT_106, CAT_155, CAT_045, CAT_115, CAT_184",136,61
181,"CAT_040, CAT_000, CAT_209, CAT_017, CAT_047",121,45
182,"CAT_118, CAT_158, CAT_029, CAT_170, CAT_117, CAT_108",132,53
183,"CAT_061, CAT_182, CAT_191, CAT_046, CAT_205",112,52
184,"CAT_172, CAT_019, CAT_219, CAT_043, CAT_119, CAT_015",113,38
185,"CAT_116, CAT_096, CAT_064, CAT_157",133,54
186,"CAT_111, CAT_028, CAT_066, CAT_047, CAT_105, CAT_187",125,40
187,"CAT_178, CAT_030, CAT_036, CAT_086, CAT_154",116,50
188,"CAT_009, CAT_050, CAT_152, CAT_007, CAT_110, CAT_222",113,55
189,"CAT_091, CAT_142, CAT_215, CAT_078, CAT_200, CAT_018",115,47
190,"CAT_137, CAT_133, CAT_033, CAT_201, CAT_161",134,38
191,"CAT_133, CAT_083, CAT_043, CAT_002, CAT_013, CAT_099",96,41
192,"CAT_094, CAT_136, CAT_083, CAT_132, CAT_038",121,40
193,"CAT_140, CAT_017, CAT_086, CAT_101",138,63
194,"CAT_195, CAT_008, CAT_203, CAT_050",89,37
195,"CAT_045, CAT_221, CAT_031, CAT_067",142,58
196,"CAT_030, CAT_181, CAT_047, CAT_179, CAT_079",101,32
197,"CAT_061, CAT_057, CAT_108, CAT_162",117,53
198,"CAT_174, CAT_088, CAT_073, CAT_005",94,21
199,"CAT_109, CAT_210, CAT_162, CAT_027, CAT_089, CAT_115",114,50
200,"CAT_173, CAT_087, CAT_131, CAT_220",105,38
201,"CAT_203, CAT_137, CAT_142, CAT_072, CAT_062, CAT_116",112,54
202,"CAT_167, CAT_126, CAT_101, CAT_170",128,52
203,"CAT_221, CAT_011, CAT_195, CAT_057, CAT_201, CAT_138",87,31
204,"CAT_038, CAT_041, CAT_138, CAT_074",132,55
205,"CAT_143, CAT_204, CAT_149, CAT_212, CAT_105, CAT_042",125,56
206,"CAT_176, CAT_142, CAT_211, CAT_000",116,53
207,"CAT_077, CAT_049, CAT_210, CAT_035",117,44
208,"CAT_156, CAT_112, CAT_084, CAT_042, CAT_167",113,40
209,"CAT_078, CAT_114, CAT_017, CAT_124, CAT_176, CAT_104",133,45
210,"CAT_200, CAT_092, CAT_207, CAT_020, CAT_208",109,47
211,"CAT_169, CAT_071, CAT_085, CAT_081",133,49
212,"CAT_044, CAT_015, CAT_036, CAT_031, CAT_142, CAT_102",139,62
213,"CAT_004, CAT_132, CAT_150, CAT_158",105,41
214,"CAT_152, CAT_132, CAT_143, CAT_169",104,32
215,"CAT_116, CAT_165, CAT_137, CAT_173, CAT_203, CAT_030",114,52
216,"CAT_000, CAT_056, CAT_091, CAT_209",98,30
217,"CAT_091, CAT_131, CAT_102, CAT_162",120,53
218,"CAT_035, CAT_166, CAT_084, CAT_191, CAT_221, CAT_005",131,63
219,"CAT_186, CAT_176, CAT_104, CAT_110, CAT_204, CAT_112",118,54
220,"CAT_172, CAT_063, CAT_069, CAT_052, CAT_075, CAT_055",122,52
221,"CAT_199, CAT_064, CAT_083, CAT_018, CAT_010, CAT_157",110,44
222,"CAT_065, CAT_220, CAT_202, CAT_061",123,57
223,"CAT_029, CAT_030, CAT_182, CAT_068, CAT_181",111,44
224,"CAT_174, CAT_100, CAT_043, CAT_130",112,52
225,"CAT_121, CAT_029, CAT_156, CAT_220, CAT_020",126,57
226,"CAT_011, CAT_003, CAT_174, CAT_159, CAT_074, CAT_147",138,59
227,"CAT_108, CAT_040, CAT_216, CAT_119, CAT_079",118,46
228,"CAT_077, CAT_056, CAT_212, CAT_061",138,53
229,"CAT_049, CAT_048, CAT_027, CAT_106, CAT_028, CAT_026",127,45
230,"CAT_196, CAT_109, CAT_064, CAT_019",139,52
231,"CAT_003, CAT_199, CAT_120, CAT_221, CAT_072, CAT_115",101,40
232,"CAT_094, CAT_110, CAT_124, CAT_033, CAT_028, CAT_008",119,47
233,"CAT_218, CAT_084, CAT_021, CAT_024, CAT_186",145,70
234,"CAT_187, CAT_169, CAT_032, CAT_018",107,48
235,"CAT_220, CAT_045, CAT_130, CAT_129, CAT_108, CAT_083",130,59
236,"CAT_161, CAT_129, CAT_215, CAT_160",126,50
237,"CAT_021, CAT_060, CAT_062, CAT_073, CAT_171, CAT_029",115,41
238,"CAT_078, CAT_100, CAT_065, CAT_163, CAT_088, CAT_215",137,56
239,"CAT_144, CAT_096, CAT_136, CAT_215",138,41
240,"CAT_152, CAT_027, CAT_207, CAT_214, CAT_031",104,44
241,"CAT_015, CAT_212, CAT_101, CAT_123, CAT_216",106,47
242,"CAT_080, CAT_138, CAT_078, CAT_106, CAT_144, CAT_063",125,48
243,"CAT_030, CAT_141, CAT_084, CAT_099",115,36
244,"CAT_153, CAT_055, CAT_140, CAT_162, CAT_074, CAT_073",116,53
245,"CAT_049, CAT_013, CAT_199, CAT_021, CAT_000",125,56
246,"CAT_175, CAT_182, CAT_087, CAT_135, CAT_219",102,37
247,"CAT_114, CAT_129, CAT_123, CAT_166, CAT_214, CAT_204",126,58
248,"CAT_018, CAT_028, CAT_029, CAT_177",137,52
249,"CAT_056, CAT_080, CAT_112, CAT_088, CAT_106, CAT_167",124,45
250,"CAT_082, CAT_201, CAT_161, CAT_180, CAT_116",126,47
251,"CAT_196, CAT_041, CAT_162, CAT_139",126,52
252,"CAT_142, CAT_184, CAT_173, CAT_123, CAT_105",102,39
253,"CAT_176, CAT_156, CAT_085, CAT_112, CAT_141, CAT_057",106,45
254,"CAT_151, CAT_092, CAT_068, CAT_192, CAT_161, CAT_063",129,64
255,"CAT_163, CAT_021, CAT_004, CAT_162",92,42
256,"CAT_164, CAT_109, CAT_195, CAT_018, CAT_087",88,33
257,"CAT_026, CAT_189, CAT_063, CAT_173, CAT_109",123,58
258,"CAT_023, CAT_084, CAT_152, CAT_123, CAT_077",127,50
259,"CAT_107, CAT_211, CAT_017, CAT_187, CAT_141, CAT_137",118,42
260,"CAT_093, CAT_190, CAT_016, CAT_181, CAT_081, CAT_005",102,33
261,"CAT_009, CAT_101, CAT_082, CAT_143, CAT_142, CAT_060",125,50
262,"CAT_083, CAT_077, CAT_188, CAT_011, CAT_154",116,43
263,"CAT_064, CAT_207, CAT_190, CAT_194, CAT_113, CAT_057",96,48
264,"CAT_111, CAT_188, CAT_159, CAT_105, CAT_199",132,53
265,"CAT_069, CAT_017, CAT_214, CAT_138, CAT_145",130,55
266,"CAT_086, CAT_008, CAT_101, CAT_018",126,61
267,"CAT_065, CAT_073, CAT_140, CAT_152, CAT_104, CAT_087",122,43
268,"CAT_049, CAT_085, CAT_087, CAT_043, CAT_154, CAT_027",128,54
269,"CAT_034, CAT_199, CAT_171, CAT_217, CAT_167",122,54
270,"CAT_014, CAT_117, CAT_015, CAT_092, CAT_062, CAT_054",83,34
271,"CAT_158, CAT_105, CAT_195, CAT_177, CAT_129",101,33
272,"CAT_191, CAT_166, CAT_041, CAT_149, CAT_045",132,55
273,"CAT_087, CAT_001, CAT_092, CAT_152",132,52
274,"CAT_024, CAT_111, CAT_070, CAT_023, CAT_191, CAT_176",117,42
275,"CAT_185, CAT_212, CAT_159, CAT_067, CAT_128",104,37
276,"CAT_063, CAT_096, CAT_128, CAT_172",97,33
277,"CAT_128, CAT_059, CAT_117, CAT_186, CAT_028",132,55
278,"CAT_152, CAT_068, CAT_148, CAT_019, CAT_058, CAT_113",136,63
279,"CAT_067, CAT_161, CAT_092, CAT_106, CAT_178",100,30
280,"CAT_045, CAT_089, CAT_189, CAT_085, CAT_090",127,59
281,"CAT_019, CAT_070, CAT_126, CAT_005, CAT_105",78,37
282,"CAT_143, CAT_002, CAT_049, CAT_054, CAT_127",110,44
283,"CAT_101, CAT_047, CAT_222, CAT_107",138,52
284,"CAT_196, CAT_021, CAT_210, CAT_091, CAT_035, CAT_220",101,45
285,"CAT_113, CAT_148, CAT_140, CAT_161, CAT_059, CAT_019",116,46
286,"CAT_182, CAT_133, CAT_043, CAT_020, CAT_110",113,46
287,"CAT_006, CAT_180, CAT_143, CAT_063, CAT_170, CAT_221",135,52
288,"CAT_050, CAT_142, CAT_193, CAT_184",100,38
289,"CAT_142, CAT_043, CAT_055, CAT_095",111,50
290,"CAT_136, CAT_086, CAT_130, CAT_217, CAT_206, CAT_158",127,60
291,"CAT_221, CAT_127, CAT_165, CAT_150, CAT_114",112,47
292,"CAT_052, CAT_151, CAT_079, CAT_220, CAT_168, CAT_048",115,47
293,"CAT_118, CAT_166, CAT_206, CAT_013, CAT_131, CAT_175",116,47
294,"CAT_119, CAT_181, CAT_109, CAT_031, CAT_086",142,64
295,"CAT_042, CAT_184, CAT_036, CAT_069, CAT_023, CAT_151",126,51
296,"CAT_165, CAT_168, CAT_177, CAT_071, CAT_135, CAT_110",163,65
297,"CAT_095, CAT_200, CAT_058, CAT_145, CAT_184, CAT_168",105,41
298,"CAT_123, CAT_058, CAT_086, CAT_194, CAT_005",140,62
299,"CAT_060, CAT_222, CAT_176, CAT_165",120,48
300,"CAT_164, CAT_060, CAT_059, CAT_180, CAT_168, CAT_008",113,52
301,"CAT_064, CAT_132, CAT_047, CAT_188, CAT_194",124,55
302,"CAT_056, CAT_099, CAT_083, CAT_033",103,31
303,"CAT_188, CAT_117, CAT_185, CAT_092, CAT_107, CAT_104",102,38
304,"CAT_127, CAT_034, CAT_066, CAT_142, CAT_150",88,32
305,"CAT_078, CAT_061, CAT_103, CAT_049, CAT_065",112,42
306,"CAT_109, CAT_041, CAT_210, CAT_065, CAT_171",123,48
307,"CAT_009, CAT_081, CAT_046, CAT_132, CAT_220, CAT_034",121,37
308,"CAT_191, CAT_123, CAT_200, CAT_107, CAT_051",116,54
309,"CAT_045, CAT_032, CAT_142, CAT_113",112,44
310,"CAT_165, CAT_176, CAT_180, CAT_002",109,46
311,"CAT_098, CAT_038, CAT_193, CAT_164, CAT_086",150,68
312,"CAT_065, CAT_101, CAT_039, CAT_064, CAT_174",105,41
313,"CAT_194, CAT_087, CAT_185, CAT_214, CAT_144, CAT_142",135,43
314,"CAT_062, CAT_105, CAT_009, CAT_120, CAT_001, CAT_212",98,46
315,"CAT_174, CAT_104, CAT_066, CAT_136, CAT_033, CAT_126",126,50
316,"CAT_166, CAT_067, CAT_219, CAT_002",97,47
317,"CAT_107, CAT_201, CAT_071, CAT_117, CAT_008",111,55
318,"CAT_037, CAT_114, CAT_001, CAT_196, CAT_167, CAT_126",85,27
319,"CAT_146, CAT_056, CAT_132, CAT_171, CAT_086",113,47
320,"CAT_011, CAT_015, CAT_183, CAT_151, CAT_099, CAT_219",161,61
321,"CAT_125, CAT_091, CAT_179, CAT_192, CAT_212, CAT_102",126,55
322,"CAT_095, CAT_180, CAT_021, CAT_044",112,48
323,"CAT_080, CAT_196, CAT_203, CAT_062",109,53
324,"CAT_126, CAT_152, CAT_090, CAT_054, CAT_098",127,48
325,"CAT_110, CAT_124, CAT_196, CAT_047",111,50
326,"CAT_053, CAT_116, CAT_164, CAT_078",121,48
327,"CAT_197, CAT_186, CAT_181, CAT_164, CAT_093",132,52
328,"CAT_129, CAT_199, CAT_121, CAT_200, CAT_086",158,71
329,"CAT_094, CAT_092, CAT_186, CAT_037, CAT_004, CAT_173",128,58
330,"CAT_135, CAT_219, CAT_071, CAT_022",141,58
331,"CAT_031, CAT_049, CAT_174, CAT_010, CAT_043, CAT_095",130,64
332,"CAT_073, CAT_194, CAT_122, CAT_032",115,43
333,"CAT_064, CAT_205, CAT_055, CAT_114, CAT_059, CAT_053",88,41
334,"CAT_049, CAT_129, CAT_165, CAT_168",122,48
335,"CAT_040, CAT_085, CAT_087, CAT_180",102,41
336,"CAT_167, CAT_010, CAT_213, CAT_112",124,46
337,"CAT_116, CAT_044, CAT_030, CAT_054, CAT_035, CAT_042",116,42
338,"CAT_127, CAT_135, CAT_197, CAT_080, CAT_014, CAT_071",135,50
339,"CAT_129, CAT_097, CAT_073, CAT_133, CAT_052, CAT_061",139,57
340,"CAT_049, CAT_051, CAT_100, CAT_077, CAT_045, CAT_107",123,52
341,"CAT_130, CAT_093, CAT_111, CAT_196, CAT_208, CAT_147",124,52
342,"CAT_087, CAT_007, CAT_094, CAT_219",125,52
343,"CAT_199, CAT_122, CAT_177, CAT_136, CAT_130, CAT_054",149,59
344,"CAT_040, CAT_070, CAT_061, CAT_042, CAT_063, CAT_049",108,43
345,"CAT_150, CAT_145, CAT_056, CAT_032, CAT_000, CAT_039",118,35
346,"CAT_120, CAT_064, CAT_148, CAT_194, CAT_153",138,54
347,"CAT_109, CAT_052, CAT_081, CAT_204, CAT_135",119,56
348,"CAT_175, CAT_146, CAT_102, CAT_196",107,47
349,"CAT_124, CAT_054, CAT_046, CAT_101, CAT_108",119,47
350,"CAT_049, CAT_037, CAT_007, CAT_004",105,49
351,"CAT_081, CAT_209, CAT_218, CAT_160, CAT_110, CAT_214",129,61
352,"CAT_135, CAT_176, CAT_003, CAT_086, CAT_125, CAT_201",90,36
353,"CAT_200, CAT_214, CAT_129, CAT_034, CAT_131",140,51
354,"CAT_031, CAT_086, CAT_034, CAT_170",126,63
355,"CAT_071, CAT_167, CAT_219, CAT_057",115,44
356,"CAT_126, CAT_125, CAT_154, CAT_032",96,45
357,"CAT_168, CAT_181, CAT_187, CAT_070, CAT_014, CAT_177",122,51
358,"CAT_033, CAT_128, CAT_043, CAT_025, CAT_105",120,43
359,"CAT_118, CAT_151, CAT_201, CAT_044",139,51
360,"CAT_160, CAT_052, CAT_075, CAT_125, CAT_093",123,53
361,"CAT_098, CAT_164, CAT_046, CAT_139, CAT_040",100,51
362,"CAT_169, CAT_101, CAT_039, CAT_043, CAT_188",141,63
363,"CAT_059, CAT_107, CAT_124, CAT_161, CAT_079, CAT_074",117,52
364,"CAT_087, CAT_004, CAT_056, CAT_198, CAT_220, CAT_066",125,51
365,"CAT_180, CAT_003, CAT_106, CAT_037, CAT_014, CAT_069",126,47
366,"CAT_160, CAT_055, CAT_005, CAT_064, CAT_192, CAT_093",101,40
367,"CAT_024, CAT_155, CAT_175, CAT_153",124,46
368,"CAT_203, CAT_187, CAT_030, CAT_002, CAT_124",106,42
369,"CAT_133, CAT_194, CAT_049, CAT_080",137,56
370,"CAT_047, CAT_037, CAT_141, CAT_004",141,59
371,"CAT_085, CAT_003, CAT_141, CAT_092",161,50
372,"CAT_116, CAT_170, CAT_185, CAT_080",101,40
373,"CAT_018, CAT_042, CAT_045, CAT_173, CAT_015",112,53
374,"CAT_092, CAT_075, CAT_068, CAT_069, CAT_215",102,43
